Strain (%),Stress (MPa),Time (sec)
30.9,3.48,77
30.9,3.48,78
30.9,3.48,78
31,3.48,78
31,3.48,78
31,3.488,78
31,3.48,78
31.1,3.48,78
31.1,3.48,78
31.1,3.48,78
31.1,3.488,78
31.2,3.488,78
31.2,3.488,78
31.2,3.488,78
31.2,3.488,78
31.3,3.488,78
31.3,3.495,78
31.3,3.495,79
31.3,3.488,79
31.4,3.488,79
31.4,3.488,79
31.4,3.495,79
31.4,3.495,79
31.5,3.495,79
31.5,3.495,79
31.5,3.495,79
31.5,3.495,79
31.5,3.495,79
31.6,3.503,79
31.6,3.503,79
31.6,3.503,79
31.6,3.503,79
31.7,3.503,79
31.7,3.495,80
31.7,3.503,80
31.7,3.511,80
31.8,3.511,80
31.8,3.511,80
31.8,3.511,80
31.8,3.503,80
31.9,3.511,80
31.9,3.511,80
31.9,3.511,80
31.9,3.511,80
32,3.511,80
32,3.511,80
32,3.519,80
32,3.519,80
32.1,3.519,80
32.1,3.519,81
32.1,3.519,81
32.1,3.519,81
32.2,3.519,81
32.2,3.519,81
32.2,3.526,81
32.2,3.526,81
32.3,3.526,81
32.3,3.526,81
32.3,3.526,81
32.3,3.526,81
32.4,3.526,81
32.4,3.519,81
32.4,3.519,81
32.4,3.519,81
32.5,3.526,81
32.5,3.526,82
32.5,3.526,82
32.5,3.534,82
32.6,3.534,82
32.6,3.534,82
32.6,3.534,82
32.6,3.534,82
32.7,3.534,82
32.7,3.534,82
32.7,3.534,82
32.7,3.534,82
32.8,3.534,82
32.8,3.534,82
32.8,3.542,82
32.8,3.534,82
32.9,3.534,82
32.9,3.534,83
32.9,3.542,83
32.9,3.542,83
33,3.542,83
33,3.542,83
33,3.542,83
33,3.542,83
33.1,3.542,83
33.1,3.549,83
33.1,3.549,83
33.1,3.549,83
33.2,3.542,83
33.2,3.542,83
33.2,3.542,83
33.2,3.549,83
33.3,3.549,83
33.3,3.549,84
33.3,3.549,84
33.3,3.549,84
33.4,3.549,84
33.4,3.549,84
33.4,3.549,84
33.4,3.557,84
33.5,3.557,84
33.5,3.557,84
33.5,3.557,84
33.5,3.565,84
33.6,3.565,84
33.6,3.557,84
33.6,3.557,84
33.6,3.557,84
33.7,3.557,84
33.7,3.557,85
33.7,3.565,85
33.7,3.565,85
33.8,3.565,85
33.8,3.565,85
33.8,3.565,85
33.8,3.565,85
33.9,3.565,85
33.9,3.573,85
33.9,3.565,85
33.9,3.573,85
34,3.573,85
34,3.573,85
34,3.565,85
34,3.573,85
34.1,3.573,85
